dataset,recording_id,participant_id,event_count,sample_rate,duration_s
Kaggle,kaggle_A_A_176.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_177.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_178.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_179.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_18.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_180.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_181.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_182.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_183.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_184.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_185.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_186.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_187.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_188.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_189.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_19.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_190.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_191.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_192.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_193.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_194.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_195.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_196.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_197.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_198.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_199.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_2.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_20.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_200.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_201.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_202.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_203.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_204.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_205.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_206.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_207.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_208.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_209.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_21.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_210.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_211.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_212.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_213.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_214.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_215.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_216.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_217.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_218.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_219.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_22.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_220.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_221.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_222.wav,kaggle_participant,1,48000,0.4
